K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,X?p lo?i h?c t?p
D,D,D,C,B,B,C,Ch?a X?p Lo?i
C,C,C,C,C,A,D,Ch?a X?p Lo?i
C,C,D,A,B,C,C,Ch?a X?p Lo?i
C,A,B,C,A,B,C,Ch?a X?p Lo?i
C,D,D,D,D,C,D,Ch?a X?p Lo?i
D,B,C,B,C,B,D,Ch?a X?p Lo?i
C,B,D,A,A,A,D,Ch?a X?p Lo?i
C,C,C,B,C,D,D,Ch?a X?p Lo?i
C,D,D,C,F,C,F,Ch?a X?p Lo?i
C,B,B,B,B,A,A,Ch?a X?p Lo?i
C,B,B,B,A,A,D,Ch?a X?p Lo?i
C,B,D,A,C,D,C,Ch?a X?p Lo?i
B,D,D,C,D,F,D,Ch?a X?p Lo?i
C,D,C,D,C,D,C,Ch?a X?p Lo?i
C,A,B,B,C,C,C,Ch?a X?p Lo?i
B,C,D,C,C,A,D,Ch?a X?p Lo?i
C,B,B,B,C,C,C,Ch?a X?p Lo?i
B,B,B,C,A,B,D,Ch?a X?p Lo?i
B,D,D,D,C,B,C,Ch?a X?p Lo?i
D,C,C,D,D,D,D,Ch?a X?p Lo?i
C,C,B,D,B,A,D,Ch?a X?p Lo?i
B,D,D,D,B,D,C,Ch?a X?p Lo?i
B,D,C,D,B,D,C,Ch?a X?p Lo?i
B,D,A,A,B,A,C,Ch?a X?p Lo?i
B,B,C,A,C,C,A,Ch?a X?p Lo?i
B,B,D,A,D,C,B,Ch?a X?p Lo?i
B,A,A,B,A,B,A,Ch?a X?p Lo?i
B,D,C,B,A,D,C,Ch?a X?p Lo?i
C,A,A,C,A,B,A,Ch?a X?p Lo?i
B,C,B,B,A,B,B,Ch?a X?p Lo?i
B,B,D,C,D,C,D,Ch?a X?p Lo?i
B,C,D,C,D,C,B,Ch?a X?p Lo?i
B,C,D,A,C,C,A,Ch?a X?p Lo?i
D,D,D,D,C,C,D,Ch?a X?p Lo?i
A,A,A,C,A,A,A,Ch?a X?p Lo?i
B,C,D,F,C,B,F,Ch?a X?p Lo?i
B,B,B,A,C,B,A,Ch?a X?p Lo?i
D,C,B,C,B,B,A,Ch?a X?p Lo?i
B,A,B,D,B,B,C,Ch?a X?p Lo?i
C,B,B,B,C,B,B,Ch?a X?p Lo?i
B,B,B,A,A,B,A,Ch?a X?p Lo?i
D,C,C,D,C,D,D,Ch?a X?p Lo?i
C,B,C,D,B,B,B,Ch?a X?p Lo?i
B,C,C,C,B,C,A,Ch?a X?p Lo?i
C,D,D,B,D,C,A,Ch?a X?p Lo?i
B,C,C,A,D,A,B,Ch?a X?p Lo?i
B,D,C,D,B,B,B,Ch?a X?p Lo?i
A,B,D,A,C,B,D,Ch?a X?p Lo?i
B,A,C,B,B,B,A,Ch?a X?p Lo?i
B,B,B,D,D,D,D,Ch?a X?p Lo?i
